ticker,source,beta,returnannual,expectedreturncapm,volannual,sharpecapm,nobs
VRTX,sp500,0.45906269577898173,0.22108161049047503,0.1080541338917963,0.24839461733781582,0.27397588007812146,498
AON,sp500,0.38437045107565343,0.06516793808559203,0.09698131950618477,0.20973739928662086,0.2716793461728578,498
WM,sp500,0.3110170771719727,0.19596547107996407,0.08610698714383679,0.1779714260598415,0.25906960552383096,498
MCD,sp500,0.2959181301354155,0.06430264419132892,0.08386863109204007,0.1757926543948403,0.2495475777589013,498
CB,sp500,0.29516782478896797,0.21750208554988273,0.08375740144742644,0.19320051743062236,0.22648697855138805,498
ABBV,sp500,0.3363694638031401,0.21586093587465457,0.08986537293762545,0.23180432495824968,0.21511838895416083,498
NEE,sp500,0.3997367205110094,0.006008177225554248,0.09925930499092694,0.2821076745365351,0.2100591736409936,498
BLV,fintual,0.18132886827570613,0.009160000280049969,0.06688124997641726,0.12835717851888115,0.20942537290552132,498
MRK,sp500,0.27292575032214866,-0.12523628804162426,0.08046010648594477,0.22169826501416762,0.18250078088504287,498
GILD,sp500,0.28061866730368695,0.20644066077732462,0.08160054940821641,0.23672829576789642,0.17573120810620904,498
GLD,fintual,0.16735253045735,0.2449213233869081,0.06480931606858059,0.14791087737452696,0.1677315185262583,498
IAU,fintual,0.16530097064694085,0.24635787344465132,0.06450518086589832,0.1474943063807232,0.16614323269295384,498
IAUM,fintual,0.16199428402955648,0.24806432905925527,0.0640149783382984,0.1465834848663026,0.16383140542880553,498
BND,fintual,0.06227668416093936,0.03247952719947523,0.049232259212511086,0.05984391443770816,0.15427231489211807,498
PEP,sp500,0.17670205243443968,-0.13879255463512172,0.06619534378615294,0.1805077706640478,0.14512031083086405,498
PG,sp500,0.15278289995262043,0.05572707902257955,0.06264942898945221,0.1669516798604257,0.13566457677088062,498
LMT,sp500,0.17492330915590643,0.07157732603712633,0.06593165249877656,0.202069601145834,0.12833029981615907,498
MDLZ,sp500,0.16034975919287642,-0.027941089438659913,0.06377118437626911,0.19109982777133813,0.12439144845652444,498
MO,sp500,0.14175366653204563,0.22486586031519207,0.06101439104184898,0.17911456463582245,0.11732374240238726,498
UNH,sp500,0.18272593234982287,-0.04020451280041487,0.0670883589104029,0.3069726337891168,0.08824356287411597,498
SO,sp500,0.1062253349035601,0.15522837057858013,0.05574746375756104,0.18210526087725581,0.08647451304646976,498
T,sp500,0.12912921086174553,0.33059679522139923,0.059142868035520255,0.23670079158362023,0.08087369673522016,498
DUK,sp500,0.09073481467748867,0.1612673487902806,0.05345105861026457,0.17435022021820737,0.0771496508202281,498
NOC,sp500,0.10557610128721094,0.09784963029348358,0.05565121757624346,0.23349557386780728,0.06703003965764397,498
JNJ,sp500,0.052519388142048935,0.02646468427868907,0.047785780690520356,0.1721901129752435,0.04521618899012947,498
CME,sp500,0.040548782925155145,0.27016107852190974,0.04601118829238626,0.1727870283536984,0.03478958084793982,498
